source,translation
hello world,xin chào thế giới
how are you?,bạn khỏe không?
Reading books is fun.,đọc sách rất vui.
The weather is sunny.,thời tiết nắng.
Machine translation is challenging.,dịch máy rất thách thức.
The sky is clear.,bầu trời trong xanh.
I enjoy programming.,tôi thích lập trình.
This is an AI model.,đây là một mô hình ai.
Translation is important.,dịch rất quan trọng.
Hello world!,xin chào thế giới!
Learning is fun.,học rất vui.
Practice makes perfect.,luyện tập tạo nên sự hoàn hảo.
Keep trying.,hãy tiếp tục cố gắng.
Don’t give up.,đừng bỏ cuộc.
Success is near.,thành công sắp đến.
Stay positive.,hãy lạc quan.
Good morning.,chào buổi sáng.
Good night.,chúc ngủ ngon.
Have a nice day.,chúc một ngày tốt lành.
Take care.,bảo trọng.
See you soon.,hẹn gặp lại.
What is your name?,tên bạn là gì?
Where are you from?,bạn đến từ đâu?
"I am fine, thank you.","tôi khỏe, cảm ơn."
Nice to meet you.,rất vui được gặp bạn.
What do you do?,bạn làm nghề gì?
I am a student.,tôi là sinh viên.
I am learning English.,tôi đang học tiếng anh.
Do you speak English?,bạn có nói tiếng anh không?
Please help me.,làm ơn giúp tôi.
Thank you very much.,cảm ơn rất nhiều.
You are welcome.,không có chi.
Excuse me.,xin lỗi.
I am sorry.,tôi xin lỗi.
No problem.,không sao.
It is okay.,không sao đâu.
How old are you?,bạn bao nhiêu tuổi?
Where do you live?,bạn sống ở đâu?
I live in Vietnam.,tôi sống ở việt nam.
What is your hobby?,sở thích của bạn là gì?
I like reading.,tôi thích đọc sách.
I like traveling.,tôi thích du lịch.
What is your favorite food?,món ăn yêu thích của bạn là gì?
I like pizza.,tôi thích pizza.
What is your favorite color?,màu yêu thích của bạn là gì?
I like blue.,tôi thích màu xanh.
What is your favorite book?,cuốn sách yêu thích của bạn là gì?
I like Harry Potter.,tôi thích harry potter.
What is your favorite movie?,bộ phim yêu thích của bạn là gì?
I like The Avengers.,tôi thích the avengers.
Do you have any pets?,bạn có nuôi thú cưng không?
I have a cat.,tôi có một con mèo.
I have a dog.,tôi có một con chó.
I have two cats.,tôi có hai con mèo.
I have two dogs.,tôi có hai con chó.
Do you like sports?,bạn có thích thể thao không?
I like soccer.,tôi thích bóng đá.
I like basketball.,tôi thích bóng rổ.
I like swimming.,tôi thích bơi lội.
Do you play any instruments?,bạn có chơi nhạc cụ nào không?
I play the guitar.,tôi chơi guitar.
I play the piano.,tôi chơi piano.
I play the violin.,tôi chơi violin.
What time is it?,mấy giờ rồi?
It is half past four.,bây giờ là 4 giờ rưỡi.
Can you tell me the time?,bạn có thể cho tôi biết giờ không?
Do you have a watch?,bạn có đồng hồ không?
I am hungry.,tôi đói.
I am thirsty.,tôi khát.
Can I have some water?,tôi có thể có một ít nước không?
Can I have some coffee?,tôi có thể có một ít cà phê không?
Do you like tea?,bạn có thích trà không?
I like tea.,tôi thích trà.
What is your favorite drink?,đồ uống yêu thích của bạn là gì?
I like orange juice.,tôi thích nước cam.
Do you like ice cream?,bạn có thích kem không?
I like chocolate ice cream.,tôi thích kem socola.
What is your favorite fruit?,trái cây yêu thích của bạn là gì?
I like apples.,tôi thích táo.
Do you like vegetables?,bạn có thích rau không?
I like carrots.,tôi thích cà rốt.
What is your favorite season?,mùa yêu thích của bạn là gì?
I like summer.,tôi thích mùa hè.
I like winter.,tôi thích mùa đông.
Do you like spring?,bạn có thích mùa xuân không?
I like spring.,tôi thích mùa xuân.
Do you like autumn?,bạn có thích mùa thu không?
I like autumn.,tôi thích mùa thu.
What is your favorite holiday?,kỳ nghỉ yêu thích của bạn là gì?
I like Christmas.,tôi thích giáng sinh.
I like New Year.,tôi thích năm mới.
What is your favorite day of the week?,ngày yêu thích của bạn trong tuần là gì?
I like Saturday.,tôi thích thứ bảy.
I like Sunday.,tôi thích chủ nhật.
What is your favorite month?,tháng yêu thích của bạn là gì?
I like December.,tôi thích tháng mười hai.
I like January.,tôi thích tháng một.
What is your favorite year?,năm yêu thích của bạn là gì?
I like 2021.,tôi thích năm 2021.
I like 2022.,tôi thích năm 2022.
Do you like weekends?,bạn có thích cuối tuần không?
I like weekends.,tôi thích cuối tuần.
What do you do on weekends?,bạn làm gì vào cuối tuần?
I relax on weekends.,tôi thư giãn vào cuối tuần.
Do you like weekdays?,bạn có thích ngày trong tuần không?
I like weekdays.,tôi thích ngày trong tuần.
What do you do on weekdays?,bạn làm gì vào ngày trong tuần?
I study on weekdays.,tôi học vào ngày trong tuần.
Do you like mornings?,bạn có thích buổi sáng không?
I like mornings.,tôi thích buổi sáng.
What do you do in the morning?,bạn làm gì vào buổi sáng?
I exercise in the morning.,tôi tập thể dục vào buổi sáng.
Do you like afternoons?,bạn có thích buổi chiều không?
I like afternoons.,tôi thích buổi chiều.
What do you do in the afternoon?,bạn làm gì vào buổi chiều?
I read in the afternoon.,tôi đọc sách vào buổi chiều.
Do you like evening?,bạn có thích buổi tối không?
I like evening.,tôi thích buổi tối.
What do you do in the evening?,bạn làm gì vào buổi tối?
I watch TV in the evening.,tôi xem tv vào buổi tối.
Do you like nights?,bạn có thích buổi đêm không?
I like nights.,tôi thích buổi đêm.
What do you do at night?,bạn làm gì vào buổi đêm?
I sleep at night.,tôi ngủ vào buổi đêm.
Do you like dawn?,bạn có thích bình minh không?
I like dawn.,tôi thích bình minh.
Do you like dusk?,bạn có thích hoàng hôn không?
I like dusk.,tôi thích hoàng hôn.
Do you like sunrise?,bạn có thích mặt trời mọc không?
I like sunrise.,tôi thích mặt trời mọc.
Do you like sunset?,bạn có thích mặt trời lặn không?
I like sunset.,tôi thích mặt trời lặn.
What is your favorite time of day?,thời gian yêu thích trong ngày của bạn là gì?
I like morning.,tôi thích buổi sáng.
I like evening.,tôi thích buổi tối.
Do you like the beach?,bạn có thích bãi biển không?
I like the beach.,tôi thích bãi biển.
What do you do at the beach?,bạn làm gì ở bãi biển?
I swim at the beach.,tôi bơi ở bãi biển.
Do you like the mountains?,bạn có thích núi không?
I like the mountains.,tôi thích núi.
What do you do in the mountains?,bạn làm gì ở núi?
I hike in the mountains.,tôi leo núi.
Do you like the city?,bạn có thích thành phố không?
I like the city.,tôi thích thành phố.
What do you do in the city?,bạn làm gì ở thành phố?
I shop in the city.,tôi mua sắm ở thành phố.
Do you like the countryside?,bạn có thích nông thôn không?
I like the countryside.,tôi thích nông thôn.
What do you do in the countryside?,bạn làm gì ở nông thôn?
I relax in the countryside.,tôi thư giãn ở nông thôn.
Do you like the forest?,bạn có thích rừng không?
I like the forest.,tôi thích rừng.
What do you do in the forest?,bạn làm gì ở rừng?
I camp in the forest.,tôi cắm trại ở rừng.
Do you like the desert?,bạn có thích sa mạc không?
I like the desert.,tôi thích sa mạc.
What do you do in the desert?,bạn làm gì ở sa mạc?
I explore the desert.,tôi khám phá sa mạc.
Do you like the river?,bạn có thích sông không?
I like the river.,tôi thích sông.
What do you do at the river?,bạn làm gì ở sông?
I fish at the river.,tôi câu cá ở sông.
Do you like the lake?,bạn có thích hồ không?
I like the lake.,tôi thích hồ.
What do you do at the lake?,bạn làm gì ở hồ?
I kayak at the lake.,tôi chèo thuyền ở hồ.
Do you like the ocean?,bạn có thích đại dương không?
I like the ocean.,tôi thích đại dương.
What do you do at the ocean?,bạn làm gì ở đại dương?
I dive in the ocean.,tôi lặn ở đại dương.
Do you like rain?,bạn có thích mưa không?
I like rain.,tôi thích mưa.
What do you do when it rains?,bạn làm gì khi trời mưa?
I read when it rains.,tôi đọc sách khi trời mưa.
Do you like snow?,bạn có thích tuyết không?
I like snow.,tôi thích tuyết.
What do you do when it snows?,bạn làm gì khi trời tuyết?
I ski when it snows.,tôi làm người tuyết khi trời tuyết.
Do you like wind?,bạn có thích gió không?
I like wind.,tôi thích gió.
What do you do when it is windy?,bạn làm gì khi trời có gió?
I fly kites when it is windy.,tôi thả diều khi trời có gió.
Do you like fog?,bạn có thích sương mù không?
I like fog.,tôi thích sương mù.
What do you do when it is foggy?,bạn làm gì khi trời có sương mù?
I walk when it is foggy.,tôi đi dạo khi trời có sương mù.
Do you like storms?,bạn có thích bão không?
I like storms.,tôi thích bão.
What do you do during a storm?,bạn làm gì khi có bão?
I stay inside during a storm.,tôi ở trong nhà khi có bão.
Do you like clear weather?,bạn có thích thời tiết trong xanh không?
I like clear weather.,tôi thích thời tiết trong xanh.
What do you do when the weather is clear?,bạn làm gì khi thời tiết trong xanh?
I go outside when the weather is clear.,tôi ra ngoài khi thời tiết trong xanh.
Do you like hot weather?,bạn có thích thời tiết nóng không?
I like hot weather.,tôi thích thời tiết nóng.
What do you do when it is hot?,bạn làm gì khi trời nóng?
I swim when it is hot.,tôi bơi khi trời nóng.
Do you like cold weather?,bạn có thích thời tiết lạnh không?
I like cold weather.,tôi thích thời tiết lạnh.
What do you do when it is cold?,bạn làm gì khi trời lạnh?
I drink hot chocolate when it is cold.,tôi uống sô cô la nóng khi trời lạnh.
Do you like humid weather?,bạn có thích thời tiết ẩm không?
I like humid weather.,tôi thích thời tiết ẩm.
What do you do when it is humid?,bạn làm gì khi trời ẩm?
I stay inside when it is humid.,tôi ở trong nhà khi trời ẩm.
Do you like dry weather?,bạn có thích thời tiết khô không?
I like dry weather.,tôi thích thời tiết khô.
What do you do when it is dry?,bạn làm gì khi trời khô?
I go hiking when it is dry.,tôi đi bộ khi trời khô.
Do you like sunny weather?,bạn có thích thời tiết nắng không?
I like sunny weather.,tôi thích thời tiết nắng.
What do you do when it is sunny?,bạn làm gì khi trời nắng?
I go to the park when it is sunny.,tôi đi công viên khi trời nắng.
Do you like cloudy weather?,bạn có thích thời tiết mây không?
I like cloudy weather.,tôi thích thời tiết mây.
What do you do when it is cloudy?,bạn làm gì khi trời có mây?
I take pictures when it is cloudy.,tôi chụp ảnh khi trời có mây.
Do you like starry nights?,bạn có thích bầu trời đầy sao không?
I like starry nights.,tôi thích bầu trời đầy sao.
What do you do on starry nights?,bạn làm gì vào đêm đầy sao?
I stargaze on starry nights.,tôi ngắm sao vào đêm đầy sao.
Do you like the moon?,bạn có thích mặt trăng không?
I like the moon.,tôi thích mặt trăng.
What do you do when the moon is full?,bạn làm gì khi trăng tròn?
I take pictures when the moon is full.,tôi chụp ảnh khi trăng tròn.
Do you like the stars?,bạn có thích các vì sao không?
I like the stars.,tôi thích các vì sao.
What do you do when the stars are bright?,bạn làm gì khi sao sáng?
I stargaze when the stars are bright.,tôi ngắm sao khi sao sáng.
Do you like the sun?,bạn có thích mặt trời không?
I like the sun.,tôi thích mặt trời.
What do you do when the sun is shining?,bạn làm gì khi mặt trời chiếu sáng?
I go outside when the sun is shining.,tôi ra ngoài khi mặt trời chiếu sáng.
"Even though it was raining, they went on their field trip","mặc dù trời mưa, họ đã đi thực địa"
We are studying hard in preparation for the exams.,chúng tôi đang học tập chăm chỉ để chuẩn bị cho các kỳ thi.
I suppose they need it more than we do,tôi cho rằng họ cần nó nhiều hơn chúng ta
He should be in charge.,anh ta nên chịu trách nhiệm
She gave the door a gentle push,cô đẩy nhẹ cánh cửa
